Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,cleaned_reviewText,sentiment_scores,compound_score,processed_reviewText,compound,pos,neg,neu
10,808TREX50,5.0,"I like this SD Card because it can take music video downloads, personal videos, files,docs, and multimedia images with a fast transfer rate of Class 10 speed. It can take games with large files very easily and still have enough space for apps. It&#34;s great for video cameras and camcorders with the supplied adapter. Fits very easily into smartphones and tablets SD Card slots. I recommend this 32GB SD Card to everyone.",2013-11-05,398,0,0,0,like sd card take music video downloads personal videos filesdocs multimedia images fast transfer rate class speed take games large files easily still enough space apps great video cameras camcorders supplied adapter fits easily smartphones tablets sd card slots recommend gb sd card everyone,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.9169}",0.9169,like take music video downloads personal videos filesdocs multimedia images fast transfer rate take games large files easily still enough space apps great video cameras camcorders supplied adapter fits easily smartphones tablets slots recommend everyone,0.9169,0.317,0.0,0.683
11,98020,3.0,"It works, but file writes are a bit slower than expected on a USB3 reader.Also, both reads and writes are FASTER with the card inside the standard-size SD adapter (15 MB/s vs 10 write; 45 MB/s vs 22 MB/s read) on the same card reader.  Can't figure why...",2013-11-20,383,0,0,0,works file writes bit slower expected usb readeralso reads writes faster card inside standardsize sd adapter mbs vs write mbs vs mbs read card reader cant figure,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,works file writes bit slower expected usb readeralso reads writes faster inside standardsize adapter vs write vs read reader cant figure,0.0,0.0,0.0,1.0
12,9z4cda,5.0,THE NAME OF ITSELF SPEAKS OUT. GO SANDISK GO!,2014-04-07,245,0,0,0,name speaks go sandisk go,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,name speaks go go,0.0,0.0,0.0,1.0
13,"A4Q96 ""Gadget Lover""",5.0,"Solid SDHC card that is fast (at reading and writing) fast (for recording video and pics), has great capacity, and is reasonably priced. I have had no issues with it.Overall, highly recommend.",2013-11-21,382,0,0,0,solid sdhc card fast reading writing fast recording video pics great capacity reasonably priced issues itoverall highly recommend,"{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.8173}",0.8173,solid sdhc fast reading writing fast recording video pics great capacity reasonably priced no issues itoverall highly recommend,0.7425,0.344,0.089,0.567
14,"Aaron ""Aaron""",5.0,"Heard that the card's write speed is insufficient, however I have used it extensively and haven't had a single problem with it!!",2014-02-17,294,0,0,0,heard cards write speed insufficient however used extensively havent single problem,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.3089}",0.3089,heard write insufficient however used extensively havent single problem,0.3089,0.22,0.0,0.78
15,"Aaron ""Aaron""",5.0,"I bought this to use with my go pro hero 3 black edition. It requires a class 10 MicroSDXC card. So far I've had no issues with it. Fast read/write, came with adapter, small packaging, but that's all it needed! Comes with a nice hard plastic case to keep both dry and together if needed.",2013-04-01,616,0,0,0,bought use go pro hero black edition requires class microsdxc card far ive issues fast readwrite came adapter small packaging thats needed comes nice hard plastic case keep dry together needed,"{'neg': 0.039, 'neu': 0.782, 'pos': 0.179, 'compound': 0.7184}",0.7184,bought use go pro hero black edition requires microsdxc far ive no issues fast readwrite came adapter small packaging thats needed comes nice hard plastic case keep dry together needed,0.5859,0.178,0.1,0.722
16,Aaron Alvarez,5.0,got this because i had a 2 GB one that filled up. i kept getting the insufficient disk space on my phone. my kids take my phone and do selfies. mostly my daughter. I had to get a bigger card. the 2GB one was a carry over from an old phone.needless to say this was sweet. plenty of space. and i dont have to delete pictures anymore. well for now at least.my daughter loves selfies.,2014-02-03,308,0,0,0,got gb one filled kept getting insufficient disk space phone kids take phone selfies mostly daughter get bigger card gb one carry old phoneneedless say sweet plenty space dont delete pictures anymore well leastmy daughter loves selfies,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.8316}",0.8316,got filled kept getting insufficient disk space kids take selfies mostly daughter get bigger carry old phoneneedless say sweet plenty space dont delete pictures anymore well leastmy daughter loves selfies,0.8316,0.246,0.0,0.754
17,Aaron F. Virginie,5.0,"Class 10 Speed Rating for Seamless Full HD VideoThe SanDisk Ultra UHS-I card features a Class 10 and UHS Speed Class 1 (U1) rating, the highest video performance available for recording uninterrupted Full HD** video.Flawless App PerformanceThis card can retrieve stored data almost instantly, thanks to its up to 30MB/s read capability and fast bus interface. The SanDisk Ultra microSDHC and microSDXC UHS-I cards offer faster app loading and smoother, more fluid app performance.Storage Capacities Up to 64GBThis card has plenty of room to accommodate Full HD videos, MP3s, apps, and other memory-intensive mobile files. Available in sizes up to 64GB, it can store all the apps, music, and video you want.Android App for Easy File ManagementThe included SanDisk Memory Zone app lets you easily view, access, and backup all of your digital files from your phone's memory, additional memory card, and cloud service all in one convenient place. Using the app, you can easily move files from your card to a number of cloud storage services.Durable DesignSanDisk Ultra UHS-I memory cards can capture memories from -13 to 185 degrees Fahrenheit with a shockproof, waterproof, and X-ray-proof design. Your mobile device may not survive, but your SanDisk memory card will.",2013-04-07,610,0,1,1,class speed rating seamless full hd videothe sandisk ultra uhsi card features class uhs speed class u rating highest video performance available recording uninterrupted full hd videoflawless app performancethis card retrieve stored data almost instantly thanks mbs read capability fast bus interface sandisk ultra microsdhc microsdxc uhsi cards offer faster app loading smoother fluid app performancestorage capacities gbthis card plenty room accommodate full hd videos mps apps memoryintensive mobile files available sizes gb store apps music video wantandroid app easy file managementthe included sandisk memory zone app lets easily view access backup digital files phones memory additional memory card cloud service one convenient place using app easily move files card number cloud storage servicesdurable designsandisk ultra uhsi memory cards capture memories degrees fahrenheit shockproof waterproof xrayproof design mobile device may survive sandisk memory card,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.8984}",0.8984,rating seamless full hd videothe ultra uhsi features uhs u rating highest video performance available recording uninterrupted full hd videoflawless app performancethis retrieve stored data almost instantly thanks read capability fast bus interface ultra microsdhc microsdxc uhsi offer faster app loading smoother fluid app performancestorage capacities gbthis plenty room accommodate full hd videos mps apps memoryintensive mobile files available sizes store apps music video wantandroid app easy file managementthe included zone app lets easily view access backup digital files phones additional cloud service convenient place using app easily move files number cloud storage servicesdurable designsandisk ultra uhsi capture memories degrees fahrenheit shockproof waterproof xrayproof design mobile device may not survive,0.8984,0.118,0.0,0.882
18,Aaron Graves,5.0,The read and write speeds are better than the Samsung SD card that I had previously. I would not hesitate to buy another one of these great Micro SD cards from SanDisk. I also own their Clip plus MP3 player and it works very well. I think I'm becoming a fan of the SanDisk products.,2014-02-05,306,0,0,0,read write speeds better samsung sd card previously would hesitate buy another one great micro sd cards sandisk also clip plus mp player works well think im becoming fan sandisk products,"{'neg': 0.053, 'neu': 0.658, 'pos': 0.289, 'compound': 0.8519}",0.8519,read write speeds better previously would not hesitate buy another great micro also clip plus mp player works well think im becoming fan products,0.9045,0.41,0.0,0.59
19,Aaron,5.0,This works with the NL1520.  No video stuttering like with the 64gb.  Blah blah blah blah to fill in the rest.,2014-07-01,160,0,0,0,works nl video stuttering like gb blah blah blah blah fill rest,"{'neg': 0.482, 'neu': 0.366, 'pos': 0.152, 'compound': -0.34}",-0.34,works nl no video stuttering like blah blah blah blah fill rest,-0.0869,0.258,0.452,0.29
20,Aaron,5.0,Works as expected.  High transfer speed.  Nice to have extra microSD adapters lying around since I always seem to misplace them.  Mainly bought it to use in my Nikon DSLR since I can put the card directly into my (CM modded) Nook HD+ tablet in the field and view my images on a larger screen.,2013-10-27,407,0,0,0,works expected high transfer speed nice extra microsd adapters lying around since always seem misplace mainly bought use nikon dslr since put card directly cm modded nook hd tablet field view images larger screen,"{'neg': 0.089, 'neu': 0.838, 'pos': 0.073, 'compound': -0.1531}",-0.1531,works expected high transfer nice extra microsd adapters lying around since always seem misplace mainly bought use nikon dslr since put directly cm modded nook hd tablet field view images larger screen,-0.1531,0.077,0.094,0.829
21,Aaron,5.0,"Works great in a Samsung Galaxy S3.  Formatted straight away, full size there.  I can't really tell the speed difference between this one and a slower card it replaced.  I guess the IO in the phone can't take advantage.",2013-12-29,344,0,0,0,works great samsung galaxy formatted straight away full size cant really tell speed difference one slower card replaced guess io phone cant take advantage,"{'neg': 0.061, 'neu': 0.731, 'pos': 0.209, 'compound': 0.644}",0.644,works great formatted straight away full size cant really tell difference slower replaced guess io cant take advantage,0.644,0.264,0.077,0.66
22,Aaron Madden,5.0,SanDisk never disappoints. As always SanDisk products are worth every penny. Nice product and quality and works great. I recommend this product to everyone.,2013-05-11,576,0,0,0,sandisk never disappoints always sandisk products worth every penny nice product quality works great recommend product everyone,"{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.9097}",0.9097,never disappoints always products worth every penny nice product quality works great recommend product everyone,0.9097,0.574,0.0,0.426
23,aaron mckaig,5.0,"Good price, works flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand..",2014-04-04,248,0,0,0,good price works flawless samsung normal sandisk quality go brand brand,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.7351}",0.7351,good price works flawless normal quality go brand brand,0.7351,0.47,0.0,0.53
24,Aaron Nash,5.0,San disk is hard to beat.  You will pay more for the brand but you get a quality product.  Would purchase again.,2014-03-23,260,0,0,0,san disk hard beat pay brand get quality product would purchase,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.2023}",-0.2023,san disk hard beat pay brand get quality product would purchase,-0.2023,0.0,0.237,0.763
25,Aaron Smith,5.0,Installed in my Blackberry Q10 SQN100-1 and formatted. Works just fine. Plenty of storage space for pictures and videos of my son at the park.,2014-01-28,314,0,0,0,installed blackberry q sqn formatted works fine plenty storage space pictures videos son park,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.2023}",0.2023,installed blackberry q sqn formatted works fine plenty storage space pictures videos son park,0.2023,0.122,0.0,0.878
26,Aaron T. Swain,5.0,"I just received my card, it is the class 10 64GB with the correct serial#SDSDQUA-064G-A11A. I received it in an unopened SanDisk packaging. I am going to use it on my HTC Rezound, I hope it works. From what I have read, it will work after reformatting the disk. I will update this review if I have any issues using it, if not, my rating will remain unchanged...",2012-07-26,865,1,1,2,received card class gb correct serialsdsdquagaa received unopened sandisk packaging going use htc rezound hope works read work reformatting disk update review issues using rating remain unchanged,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.4404}",0.4404,received correct serialsdsdquagaa received unopened packaging going use htc rezound hope works read work reformatting disk update review issues using not rating remain unchanged,0.4404,0.112,0.0,0.888
27,A. Atkinson,5.0,"Stuck it in my S2, formatted in settings, works great! Already filled with music, pics and videos...  Get this card, format it right, and you'll have no problems.  If your phone won't do it right, should have got a Samsung! haha...",2012-11-21,747,0,0,0,stuck formatted settings works great already filled music pics videos get card format right youll problems phone wont right got samsung haha,"{'neg': 0.158, 'neu': 0.604, 'pos': 0.238, 'compound': 0.5267}",0.5267,stuck formatted settings works great already filled music pics videos get right youll no problems wont right got haha,0.4363,0.246,0.173,0.581
28,ABailey8833,5.0,"I purchased two of these one for my Samsung tablet and one for my samsung galaxy note. Great hardware that is truly speedy, responsive and meets my needs!",2012-12-28,710,1,0,1,purchased two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meets needs,"{'neg': 0.0, 'neu': 0.578, 'pos': 0.422, 'compound': 0.8591}",0.8591,purchased two tablet note great hardware truly speedy responsive meets needs,0.8591,0.543,0.0,0.457
29,abbadon,5.0,"As advertised, specs match.  As long as the device you as using it in can handle it (i.e. USB 3.0, not some crapple bs) it delivers the advertised speed.  P.S. The speed is READ, not WRITE, but you knew that, right?",2013-10-25,409,0,0,0,advertised specs match long device using handle ie usb crapple bs delivers advertised speed ps speed read write knew right,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,advertised specs match long device using handle ie usb not crapple bs delivers advertised ps read not write knew right,0.0,0.0,0.0,1.0
30,ABC317,5.0,This item is great!  I can't believe how small it is.  Imagine 64gb this size back in the 70's when they had whole buildings full of computers that couldn't pack this much space!  Great item.,2013-10-16,418,0,0,0,item great cant believe small imagine gb size back whole buildings full computers couldnt pack much space great item,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.8481}",0.8481,item great cant believe small imagine size back whole buildings full computers couldnt pack much space great item,0.8481,0.339,0.0,0.661
31,Abdul Purnell Askew SR,5.0,"I've been trying for a while to get a hold of a 32GB Micro SD for my phone and tablet.  It's pretty fast compared to the 16GB cards I've been using.  I really saw the performance boost with my phone, which I have many apps, pictures, music, and other documents on.  The phone boots fully stable in about 2 mins as apposed to 5-6 mins.  My computer also can write to these cards much faster than the 16GB ones I was using.  If you phone, tablet or any other device can support it I recommend you purchase these.  Also you pay like half the price using Amazon as opposed to other retail stores who's price is at least double or more.  I've seen these same cards going for about $72 in my area.",2013-04-15,602,0,0,0,ive trying get hold gb micro sd phone tablet pretty fast compared gb cards ive using really saw performance boost phone many apps pictures music documents phone boots fully stable mins apposed mins computer also write cards much faster gb ones using phone tablet device support recommend purchase also pay like half price using amazon opposed retail stores whos price least double ive seen cards going area,"{'neg': 0.018, 'neu': 0.752, 'pos': 0.23, 'compound': 0.9399}",0.9399,ive trying get hold micro tablet pretty fast compared ive using really saw performance boost many apps pictures music documents boots fully stable mins apposed mins also write much faster ones using tablet device support recommend purchase also pay like half price using amazon opposed retail stores whos price least double ive seen going area,0.9399,0.272,0.021,0.707
32,"Abdulrahman J. Alrashed ""dr34m3r""",1.0,"I bought 2 of those SanDisk 32 GB microSD , used them on my Galaxy Note and Galaxy S4First one , my phone started saying it was removed , then recognize it again :) then diedI thought it's just a luck , plugged in the 2nd one :) stayed for about 2 months and died suddenly ! and lost everythingnever buying from SanDisk again .. ever",2013-03-08,640,0,0,0,bought sandisk gb microsd used galaxy note galaxy sfirst one phone started saying removed recognize diedi thought luck plugged nd one stayed months died suddenly lost everythingnever buying sandisk ever,"{'neg': 0.164, 'neu': 0.752, 'pos': 0.084, 'compound': -0.4404}",-0.4404,bought microsd used note sfirst started saying removed recognize diedi thought luck plugged nd stayed months died suddenly lost everythingnever buying ever,-0.4404,0.108,0.211,0.681
33,"Abel Feliciano ""Ace Master""",4.0,The memory card is an excellent condition and work as described. Dependable and easy to use. An excellent choice for the enthusiast who requires more storage.,2012-11-09,759,0,0,0,memory card excellent condition work described dependable easy use excellent choice enthusiast requires storage,"{'neg': 0.0, 'neu': 0.439, 'pos': 0.561, 'compound': 0.9153}",0.9153,excellent condition work described dependable easy use excellent choice enthusiast requires storage,0.9153,0.615,0.0,0.385
34,A. Bell,5.0,I've got a couple of these in varying sizes. I've had no problems and no complaints about speed. I always end up buying more because the prices are so low for what you get.,2013-08-18,477,0,0,0,ive got couple varying sizes ive problems complaints speed always end buying prices low get,"{'neg': 0.385, 'neu': 0.615, 'pos': 0.0, 'compound': -0.7579}",-0.7579,ive got couple varying sizes ive no problems no complaints always end buying prices low get,0.5113,0.312,0.102,0.585
35,A. Berrios,5.0,I only had 8 gigs of memory on my Note 2 and was running out of room. Now I have so much memory space available I don't know what to do with it.,2014-10-05,64,0,0,0,gigs memory note running room much memory space available dont know,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,gigs note running room much space available dont know,0.0,0.0,0.0,1.0
36,Abe The Babe,5.0,Bought it for my Surface Pro. I've had it in there for a few months and I've had no problems. Very fast and stable.,2013-07-30,496,0,0,0,bought surface pro ive months ive problems fast stable,"{'neg': 0.227, 'neu': 0.588, 'pos': 0.185, 'compound': -0.128}",-0.128,bought surface pro ive months ive no problems fast stable,0.5358,0.358,0.0,0.642
37,Abhi gautam,5.0,I would recommend this card to everyone.Data Transfer speeds - excellent with this card on my Galaxy S2.  Didn't need to format the card or anything. I am 100% satisfied.,2012-07-10,881,1,0,1,would recommend card everyonedata transfer speeds excellent card galaxy didnt need format card anything satisfied,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.8402}",0.8402,would recommend everyonedata transfer speeds excellent didnt need anything satisfied,0.5951,0.399,0.15,0.451
38,Abraham Arturo Meza Marin,1.0,"I bougth this micro SD card after some trubles with other that i got from Kingston, i can tell that SanDisk is other quality, this is the best, my i9300 phone can read a 64GB very fast, the dta transfer speed from my pc to my is amazing, if you are looking for additional storage to you phone, for music, pictures and other type of files, this is for you.Pros-Very good quality materials of construction-Amazing speedUpdate after one year this memory is damaged I can not delete or put new files on it, I can not format this memory, I tried to format with my phone, with my pc, with a camera and nothing, now this is like a 64gb cd, the data in the memory is only available to read but I can not move, or delete it, I bought this memory to be used to backup all my data of my android device but now is only a readable memory I can not write data on it any more, I hope sandisk make a better products in the future!!! Total disagree I will buy a Samsung memory card expected a better quality.",2013-02-19,657,0,0,0,bougth micro sd card trubles got kingston tell sandisk quality best phone read gb fast dta transfer speed pc amazing looking additional storage phone music pictures type files youprosvery good quality materials constructionamazing speedupdate one year memory damaged delete put new files format memory tried format phone pc camera nothing like gb cd data memory available read move delete bought memory used backup data android device readable memory write data hope sandisk make better products future total disagree buy samsung memory card expected better quality,"{'neg': 0.076, 'neu': 0.734, 'pos': 0.189, 'compound': 0.9135}",0.9135,bougth micro trubles got kingston tell quality best read fast dta transfer pc amazing looking additional storage music pictures type files youprosvery good quality materials constructionamazing speedupdate year damaged not delete put new files not tried pc camera nothing like cd data available read not move delete bought used backup data android device readable not write data hope make better products future total disagree buy expected better quality,0.8121,0.194,0.12,0.686
39,Abraham,5.0,"Using this in a contout gps camera,  don't waste your time buying any other brand it will be a waste. Buy the best to start with.",2013-12-08,365,0,0,0,using contout gps camera dont waste time buying brand waste buy best start,"{'neg': 0.145, 'neu': 0.517, 'pos': 0.338, 'compound': 0.5764}",0.5764,using contout gps camera dont waste time buying brand waste buy best start,0.5764,0.338,0.145,0.517
40,"Abraham Kovler ""ripvanlink""",5.0,"This is a fantastic little drive, has all the gigabytes it says, works in all ways I can discern and I use it to hold the flac recordings I play on my excellent Fiio X5 digital audio player. This is the real thing and not one of the fakes that, evidently, are out there.",2014-09-07,92,0,0,0,fantastic little drive gigabytes says works ways discern use hold flac recordings play excellent fiio x digital audio player real thing one fakes evidently,"{'neg': 0.086, 'neu': 0.615, 'pos': 0.298, 'compound': 0.7845}",0.7845,fantastic little drive gigabytes says works ways discern use hold flac recordings play excellent fiio x digital audio player real thing not fakes evidently,0.9008,0.376,0.0,0.624
41,Abram Vargas,5.0,"I am very happy with this Micro SD.  I could tell the difference in the response time in my BB curve as well as my Asus tablet.  If you want something that can transfer files Photos, Videos, and Music faster this is the Micro SD card for you. Now I will say this there are faster cards out there but not at this price.  This does the trick for my devices.  Now it you are a Professional Photographer you might want to go with the Ultra 3 Micro SD but if you are an everyday user this will work wonders for you device.",2012-08-13,847,0,0,0,happy micro sd could tell difference response time bb curve well asus tablet want something transfer files photos videos music faster micro sd card say faster cards price trick devices professional photographer might want go ultra micro sd everyday user work wonders device,"{'neg': 0.025, 'neu': 0.798, 'pos': 0.176, 'compound': 0.7351}",0.7351,happy micro could tell difference response time bb curve well asus tablet want something transfer files photos videos music faster micro say faster not price trick devices professional photographer might want go ultra micro everyday user work wonders device,0.7613,0.219,0.0,0.781
42,A. Brattoli,5.0,"I've purchased several of these little babies over the years, and I always buy SanDisk. I've never had one fail, the price is great for the amount of storage you get.",2014-10-03,66,0,0,0,ive purchased several little babies years always buy sandisk ive never one fail price great amount storage get,"{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.7876}",0.7876,ive purchased several little babies years always buy ive never fail price great amount storage get,-0.1139,0.141,0.164,0.695
43,"Abused Commuter ""abused_commuter""",1.0,"Ordered this for a Galaxy S3.  Lasted a few months and then broke.  Is not accessible on several different PC's.Says ""limited lifetime"" warranty - BS.  You have ONE MONTH for Eco Zone.  Not only did I lose pictures but now I am out $$ because of a crappy return policy.In the future I will be buying Kingston, not Sandisk.-----------------Update:  Amazon Customer service made good and refunded my purchase price.  I still will not be buying any more Sandisk memory cards however...",2013-07-20,506,0,1,1,ordered galaxy lasted months broke accessible several different pcssays limited lifetime warranty bs one month eco zone lose pictures crappy return policyin future buying kingston sandiskupdate amazon customer service made good refunded purchase price still buying sandisk memory cards however,"{'neg': 0.222, 'neu': 0.685, 'pos': 0.093, 'compound': -0.7506}",-0.7506,ordered lasted months broke not accessible several different pcssays limited lifetime warranty bs month eco zone not lose pictures crappy return policyin future buying kingston not sandiskupdate amazon customer service made good refunded purchase price still not buying however,0.4337,0.171,0.131,0.698
44,abushaheed,4.0,"more like 8mb/s in my Note 10.1 and that's using SanDisk's own app. A bit faster in my Note II, but still a disappointment for devices with quad core processors. Not sure if it's the card or the device, so benefit of the doubt and four stars.",2013-06-01,555,0,0,0,like mbs note thats using sandisks app bit faster note ii still disappointment devices quad core processors sure card device benefit doubt four stars,"{'neg': 0.178, 'neu': 0.583, 'pos': 0.239, 'compound': 0.25}",0.25,like note thats using sandisks app bit faster note ii still disappointment devices quad core processors not sure device benefit doubt four stars,-0.7745,0.081,0.333,0.586
45,"A. Bystricky ""Tony B.""",5.0,"not much to say other than plug and play, good quality and fits a lot of video ...good good good",2014-02-17,294,0,0,0,much say plug play good quality fits lot video good good good,"{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.9186}",0.9186,not much say plug play good quality fits lot video good good good,0.9186,0.636,0.0,0.364
46,AC500Driver,5.0,"A new camcorder required fast SD (micro) and SanDisk products have always provided first class service, so the extra cost is well worth it.",2014-03-04,279,0,0,0,new camcorder required fast sd micro sandisk products always provided first class service extra cost well worth,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.4588}",0.4588,new camcorder required fast micro products always provided first service extra cost well worth,0.4588,0.25,0.0,0.75
47,"A. Carr ""game hater""",5.0,"This tiny marvel does what it claims.  The only possible problem is that it is SO small that you may lose it if you happen to drop it during handling.  But with 16 GB capacity, you won't be handling it often.",2014-04-29,223,0,0,0,tiny marvel claims possible problem small may lose happen drop handling gb capacity wont handling often,"{'neg': 0.336, 'neu': 0.538, 'pos': 0.126, 'compound': -0.5719}",-0.5719,tiny marvel claims possible problem small may lose happen drop handling capacity wont handling often,-0.5719,0.131,0.352,0.516
48,acballer,5.0,It does the job and the price was right. It came quickly so I'm very happy for the purchase.  I would recommend it and would but it again.,2014-01-19,323,0,0,0,job price right came quickly im happy purchase would recommend would,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.7351}",0.7351,job price right came quickly im happy purchase would recommend would,0.7351,0.408,0.0,0.592
